fname	n_lines	nist1	nist2	nist3	nist4	bleu1	bleu2	bleu3	bleu4	meteor	entropy1	entropy2	entropy3	entropy4	div1	div2	avg_len
dstc_20_480_100/BERT_after.txt	34	2.0495	2.1758	2.1819	2.1819	0.3561	0.1201	0.0455	0.0182	0.07969610056714536	4.569951945888554	5.751925372521893	5.947221327529225	5.95333265910857	0.3522727272727273	0.757085020242915	15.529411764705882
dstc_20_480_100/BERT_before.txt	34	1.6373	1.695	1.6995	1.6995	0.3376	0.0882	0.0339	0.0152	0.06628361160456916	4.664854354949054	5.688933480706971	5.80148652785138	5.796337551536898	0.3900862068965517	0.7767441860465116	13.647058823529411
dstc_20_480_100/SAN.txt	34	1.9158	2.034	2.0385	2.0385	0.3851	0.131	0.0499	0.0201	0.0750671561714099	4.3394998112240835	5.641091899209502	5.89812551788222	5.890881776003333	0.3367983367983368	0.7472035794183445	14.147058823529411
