fname	n_lines	nist1	nist2	nist3	nist4	bleu1	bleu2	bleu3	bleu4	meteor	entropy1	entropy2	entropy3	entropy4	div1	div2	avg_len
SAN	2208	2.2092	2.3329	2.3414	2.3417	0.3794	0.1136	0.0368	0.0096	0.07474044190732865	4.990313078085959	7.746326782008283	9.218880821101523	9.863500882056375	0.03241719520789288	0.22688469400024047	16.066576086956523
T5	2208	2.2851	2.5327	2.5658	2.5698	0.448	0.1905	0.0931	0.0509	0.09285560746620541	5.296590749584514	7.460363032962072	8.234854539148355	8.60976068361433	0.1123690722348395	0.3459734740235949	13.360960144927537
BERT_first_try	2208	1.9019	2.0025	2.0084	2.009	0.3788	0.1117	0.0352	0.0105	0.07218160854328717	4.790608598094292	7.347231498878758	8.867653371112358	9.634123452229513	0.02258429793658782	0.1736073553272039	14.398550724637682
