fname	n_lines	nist1	nist2	nist3	nist4	bleu1	bleu2	bleu3	bleu4	meteor	entropy1	entropy2	entropy3	entropy4	div1	div2	avg_len
dstc_10_460_100/BERT_PAD_after.txt	34	0.982	1.0372	1.0411	1.0411	0.4129	0.1157	0.0352	0.0168	0.06407564287485651	3.9311919460373717	5.2071125875967645	5.508538008197686	5.542295547790727	0.2520107238605898	0.6578171091445427	10.970588235294118
dstc_10_460_100/BERT_PAD_before.txt	34	0.4954	0.5164	0.5164	0.5164	0.4041	0.1085	0.0278	0.0123	0.06011018229765024	3.8355078635898447	5.011583192475519	5.324742414695277	5.330352201536755	0.273015873015873	0.6512455516014235	9.264705882352942
dstc_10_460_100/SAN.txt	34	1.0565	1.1154	1.1154	1.1154	0.4918	0.1444	0.0328	0.0135	0.07139360636528544	3.6477756954563354	5.079059385249919	5.503316724896983	5.540527544851853	0.2032967032967033	0.603030303030303	10.705882352941176
