fname	n_lines	nist1	nist2	nist3	nist4	bleu1	bleu2	bleu3	bleu4	meteor	entropy1	entropy2	entropy3	entropy4	div1	div2	avg_len
SAN	34	2.1886	2.3113	2.3217	2.3217	0.373	0.1188	0.0385	0.0158	0.07135474326908377	3.992698874058884	5.421087926394369	5.92106164300354	6.038688976796149	0.21234119782214156	0.5764023210831721	16.205882352941178
BERT	34	1.8448	1.9479	1.9479	1.9479	0.3662	0.1125	0.0245	0.0098	0.07172136939027772	4.224396556051818	5.4816224513752765	5.839402988105905	5.902793486442863	0.26666666666666666	0.6334056399132321	14.558823529411764
