fname	n_lines	nist1	nist2	nist3	nist4	bleu1	bleu2	bleu3	bleu4	meteor	entropy1	entropy2	entropy3	entropy4	div1	div2	avg_len
SAN	34	2.1232	2.2394	2.2493	2.2493	0.3658	0.1152	0.0372	0.0152	0.07429425456935487	4.0041558576245135	5.487399118520215	6.008821131816524	6.113434757551638	0.20137693631669534	0.583180987202925	17.08823529411765
BERT	34	1.8448	1.9479	1.9479	1.9479	0.3662	0.1125	0.0245	0.0098	0.07172136939027772	4.224396556051818	5.4816224513752765	5.839402988105905	5.902793486442863	0.26666666666666666	0.6334056399132321	14.558823529411764
